year,Total fertility rate,Pop.tot,Pop.tot.inc,Pop.male,Pop.male.inc,Pop.fem,Pop.fem.inc,Pop.fem.15-19,Pop.fem.20-24,Pop.fem.25-29,Pop.fem.30-34,Pop.fem.35-39,Pop.fem.40-44,Pop.fem.45-49,Deaths.tot,Deaths.male,Deaths.fem,Death.crude.oo,Pop.mean,Deaths.infant.oo,Deaths.infant,Deaths.infant.male.oo,Deaths.infant.male,Deaths.infant.fem.oo,Deaths.infant.fem,Births.tot,Births.male,Births.fem,Intermunicipal migration,Immigration to Finland,Emigration from Finland,Net migration,Marriages,Divorces,Consumer price indice,A1 Consumer confidence indicator,B1 Own economy now (balance),B2 Own economy in 12 months' time (balance),B5 Consumer prices now,B6 Consumer prices in 12 months' time,C1 Favourability of time for purchasing durables,C3 Favourability of time for raising a loan,D1 Financial situation now,Births.mother.0-19,Births.mother.20-24,Births.mother.25-29,Births.mother.30-34,Births.mother.35-39,Births.mother.40-44,Births.mother.45-,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.male.15-19,Educ.male.20-24,Educ.male.25-29,Educ.male.30-34,Educ.male.35-39,Educ.male.40-44,Educ.male.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,Educ.fem.15-19,Educ.fem.20-24,Educ.fem.25-29,Educ.fem.30-34,Educ.fem.35-39,Educ.fem.40-44,Educ.fem.45-49,riskpoverty.tot.cashIncome.0-17,riskpoverty.tot.cashIncome.18-29,riskpoverty.tot.cashIncome.30-49,riskpoverty.tot.income.0-17,riskpoverty.tot.income.18-29,riskpoverty.tot.income.30-49,riskpoverty.rate.cashIncome.0-17,riskpoverty.rate.cashIncome.18-29,riskpoverty.rate.cashIncome.30-49,riskpoverty.rate.income.0-17,riskpoverty.rate.income.18-29,riskpoverty.rate.income.30-49
1990,"1,78",4998478,24095,2426204,13444,2572274,10651,148164,168569,184294,187325,198188,215100,160217,50058,25016,25042,10,"4986430,5","5,6",370,"5,7",190,"5,6",180,65549,33539,32010,193845,13558,6477,7081,25815,13170,"100,0","0,1","2,5","6,8","2,3",3,"23,2","4,1","9,4",1830,12235,24611,17738,7385,1694,56,131073,41091,39261,48330,62612,89589,76303,23716,123126,110515,95023,89908,79271,46544,0,0,0,0,0,0,0,430,9517,24829,25869,25685,26733,18908,0,813,7962,11138,13613,14809,11031,0,492,9747,14727,13814,13721,10383,0,0,213,914,1548,1950,1896,125321,30877,27123,38066,56740,83748,74691,22084,113412,96705,85223,83338,77901,48540,0,0,0,0,0,0,0,759,22014,44324,40743,34227,31185,20017,0,1595,5260,9826,12295,11767,9471,0,669,10809,13149,11080,9846,6921,0,2,73,318,508,653,577,64000,78000,76000,61000,79000,67000,"5,3","9,6","4,9","5,1","9,7","4,4"
1991,"1,79",5029002,30524,2443042,16838,2585960,13686,150913,163200,184131,185868,198325,211489,167896,49294,24579,24715,"9,8",5013740,"5,8",382,"6,4",214,"5,2",168,65395,33261,32134,183479,19001,5984,13017,25627,12868,"104,3",0,"2,5","6,8","2,3",3,23,"4,2","10,1",1835,12017,24562,18038,7330,1551,62,135421,41104,39828,45757,59287,84708,77113,22972,117229,109293,96032,91703,81704,51127,0,0,0,0,0,0,0,373,9819,25176,25956,26137,26234,20420,1,986,7912,10477,13790,14294,11850,0,484,9860,15091,14233,13534,11046,0,8,231,948,1560,1936,2001,129197,30881,27300,34666,52865,78120,74510,21028,107776,94322,85781,84416,79521,52953,0,0,0,0,0,0,0,687,22246,45887,42317,36340,31618,22151,1,1601,5370,8497,12439,11551,9926,0,693,11157,14257,11717,10013,7727,0,3,95,350,548,666,629,74000,104000,86000,72000,101000,79000,6,"12,4","5,6","5,8","12,1","5,2"
1992,"1,85",5054982,25980,2457282,14240,2597700,11740,154803,156320,183184,185300,195839,208286,187168,49844,24855,24989,"9,9",5041992,"5,2",344,"5,9",200,"4,4",144,66731,34147,32584,177141,14554,6055,8499,24542,13007,"107,4","-0,1","2,5","6,9","2,3",3,"22,8","4,4","10,8",1799,11737,25268,18598,7617,1622,90,138593,40047,40116,43110,56056,78985,83866,23343,111682,107165,97711,91665,84322,59538,0,0,0,0,0,0,0,336,9957,25507,26280,26351,26038,22834,0,1012,7856,10242,13464,13996,13391,0,428,10121,15362,14484,13497,12270,0,8,264,977,1581,1931,2173,132827,30048,27176,31370,48156,72071,80175,21225,101518,91249,86469,84023,81272,61194,0,0,0,0,0,0,0,749,22448,47462,44346,38387,32547,25527,2,1596,5522,7398,12268,11540,10769,0,708,11666,15337,12409,10174,8790,0,2,109,380,596,682,713,68000,108000,82000,59000,112000,70000,"5,5","13,3","5,3","4,8","13,7","4,5"
1993,"1,81",5077912,22930,2470196,12914,2607716,10016,159168,149669,180528,186866,193020,203646,200866,50988,24754,26234,"10,1",5066447,"4,4",287,5,164,"3,9",123,64826,33001,31825,181333,14795,6405,8390,25613,12808,"109,7","-0,2","2,6",7,"2,4",3,"22,6","4,5","11,5",1655,10981,24442,18696,7424,1545,83,139897,38280,39679,41652,53247,72510,87360,26070,107368,104085,99612,91341,85873,66686,0,0,0,0,0,0,0,458,9653,25610,27070,26358,25876,24646,1,983,8017,10291,12926,13807,14325,1,448,10261,15765,14960,13336,13039,0,4,300,1044,1583,1989,2213,134390,28596,27088,29039,44055,64961,82481,23965,96243,86971,87099,83140,81991,68184,0,0,0,0,0,0,0,812,22466,48567,47061,40668,33754,28596,1,1656,5563,6674,11612,11537,11281,0,705,12205,16527,12898,10683,9556,0,3,134,466,647,720,768,61000,99000,84000,60000,104000,76000,"5,2","12,6","5,3","5,1","13,3","4,8"
1994,"1,85",5098754,20842,2481649,11453,2617105,9389,160375,148349,175246,186674,190427,200867,211737,48000,23533,24467,"9,4",5088333,"4,7",308,"5,1",169,"4,3",139,65231,33180,32051,217776,11611,8672,2939,25929,13810,"110,9","-0,3","2,6",7,"2,4",3,"22,4","4,7","12,2",1610,10609,24072,19511,7782,1559,88,139160,36297,38464,39996,50721,66411,89557,27899,107980,99852,100217,91701,86806,73516,0,0,0,0,0,0,0,468,9130,25472,27704,26595,25771,26089,0,1098,8049,10355,12326,13864,15023,0,330,10292,15962,15319,13542,13629,0,3,358,1112,1610,2009,2244,134419,27207,26646,27199,39765,59116,83007,25198,97019,81908,86134,82356,82355,74420,0,0,0,0,0,0,0,758,21631,48379,49211,43129,35561,31732,0,1754,5684,6141,10725,11817,11580,0,735,12464,17472,13752,11233,10165,0,3,165,517,700,785,833,49000,105000,84000,53000,121000,83000,"4,2","13,3","5,3","4,5","15,4","5,2"
1995,"1,81",5116826,18072,2491701,10052,2625125,8020,160110,149043,170085,185798,188599,198750,214240,49280,24251,25029,"9,6",5107790,"3,9",248,"4,3",138,"3,6",110,63067,32210,30857,215971,12222,8957,3265,24850,14098,"112,0",-3,"-3,9","2,5","-1,6","2,4","14,4","-18,8","7,5",1567,9860,22481,19546,7873,1651,89,138545,34291,37229,38912,47683,61157,86990,27955,111549,95625,99143,92246,88215,77743,0,4,8,4,2,4,1,508,8686,24987,28366,27045,26076,26551,0,1130,8422,10520,11874,14068,15017,0,344,10416,16053,15661,13930,13699,0,4,359,1191,1632,2032,2208,132929,25669,25903,25917,35851,53531,79993,26523,100449,77306,83988,81832,82244,77942,0,2,12,3,0,1,0,658,20001,47638,51148,45339,37892,33394,0,2207,6145,6290,9969,12213,11581,0,715,12893,17872,14835,12025,10469,0,0,188,580,773,844,861,51000,112000,82000,55000,126000,87000,"4,4","14,6","5,1","4,7","16,5","5,5"
1996,"1,76",5132320,15494,2500596,8895,2631724,6599,159261,151543,164059,184737,186520,198430,210461,49167,24274,24893,"9,6",5124573,4,242,"4,5",140,"3,4",102,60723,31142,29581,236460,13294,10587,2707,25777,13881,"112,6","-2,1","-0,9","3,9","0,3","3,2","23,9","2,1","9,5",1561,9574,20932,18917,8053,1604,82,137966,33039,35749,38320,44355,57434,81850,27599,115800,91083,97592,92974,89774,79998,0,9,29,28,22,27,23,518,8747,23894,28555,27227,26663,26152,0,1203,8927,10653,11423,14326,14619,0,283,10496,16360,15999,14396,13520,0,5,332,1282,1667,2031,2209,131911,24398,24878,25453,32095,49388,74176,26634,104540,72926,81028,81584,82524,79154,0,7,21,14,8,3,5,715,19123,45789,52292,47080,40397,34144,1,2802,6905,6671,8972,12462,11428,0,673,13350,18611,15939,12762,10658,0,0,190,668,842,894,896,61000,125000,94000,71000,151000,104000,"5,3","16,4",6,"6,1","19,8","6,6"
1997,"1,75",5147349,15029,2509098,8502,2638251,6527,159787,155397,157061,183365,185694,195683,207263,49108,23948,25160,"9,6","5139834,5","3,9",232,"4,2",128,"3,6",104,59329,30144,29185,239115,13564,9854,3710,24966,13589,"114,0","2,4","2,5","6,3","2,5",3,"24,4","12,1","11,8",1445,9540,19817,18554,8185,1680,108,140056,32022,34123,38173,41525,54049,76093,26522,119953,86700,95341,94378,89649,82425,1,19,47,75,60,55,53,566,8887,22465,28464,27588,26954,26068,0,1271,9644,10803,11334,14058,14338,0,311,10444,16797,16243,14679,13463,0,10,332,1381,1708,2063,2231,132786,23004,23772,25099,28978,44898,68364,26340,108917,67858,78044,81702,81517,80324,0,21,57,39,35,27,17,658,19291,42990,52849,48696,42350,35258,3,3419,8480,7195,8273,12439,11492,0,742,13738,19392,17054,13500,10854,0,3,166,747,956,952,954,64000,119000,97000,73000,150000,107000,"5,6","15,7","6,2","6,3","19,8","6,9"
1998,"1,7",5159646,12297,2516075,6977,2643571,5320,161419,159511,150146,180381,187026,192838,202603,49262,24486,24776,"9,6","5153497,5","4,2",239,"4,6",133,"3,8",106,57108,29133,27975,256090,14192,10817,3375,25605,13930,"115,6","1,3","3,8","7,6","2,4","2,4","24,4","17,6","13,8",1485,9375,17957,18250,8217,1719,105,142972,31821,32347,37416,39944,51164,69683,25779,124098,82920,92443,96074,89319,83902,1,28,79,133,118,91,98,102,8777,20862,27902,28283,26891,25940,0,1430,10163,11221,11461,13588,14133,0,377,10473,17070,16688,15130,13318,0,2,330,1409,1799,2054,2281,135195,22259,22101,24759,26917,41204,61764,26051,113420,63739,74276,82223,80558,80669,0,43,84,80,66,58,46,172,18996,39780,52451,50467,43909,36030,1,3936,10220,7775,8025,12087,11646,0,854,14041,20253,18270,13990,11434,0,3,181,787,1058,1032,1014,83000,122000,103000,95000,150000,120000,"7,3","16,3","6,7","8,2","20,1","7,9"
1999,"1,73",5171302,11656,2523026,6951,2648276,4705,162210,160460,148858,175244,186739,190213,199863,49345,24431,24914,"9,6",5165474,"3,6",208,"3,8",113,"3,4",95,57574,29400,28174,259652,14744,11966,2778,26003,14140,"117,0","1,4",5,"8,6","2,4","2,4","26,6",25,"14,6",1561,9805,17498,18194,8667,1763,86,145343,32305,30949,36335,38230,48703,63788,24602,125887,82714,88451,96616,89711,84842,1,63,133,230,230,149,175,50,7284,19610,26891,28602,27028,25737,0,1652,11111,11466,11700,13077,14216,0,412,10739,17487,16912,15488,13507,0,3,334,1461,1910,2117,2317,137834,21604,20724,24237,25175,37295,56228,24311,116774,63397,70071,81510,79946,81202,1,84,128,145,154,135,101,62,15694,37331,50730,51478,45173,37051,2,5328,12326,8582,8050,11673,12133,0,975,14744,20648,19230,14836,12053,0,1,208,831,1142,1155,1095,81000,112000,101000,106000,151000,119000,"7,1","15,2","6,7","9,2","20,6","7,9"
